id,sex,age,height,condition,f0,spacing
1,M,51,181,big,80,896
1,M,51,181,normal,110,957
1,M,51,181,small,122,1000
2,F,32,157,big,171,954
2,F,32,157,normal,186,1114
2,F,32,157,small,279,1380
3,M,23,183,big,94,927
3,M,23,183,normal,122,1015
3,M,23,183,small,276,1199
4,M,35,167,big,119,1042
4,M,35,167,normal,120,1058
4,M,35,167,small,203,1112
5,F,22,158,big,170,1122
5,F,22,158,normal,191,1155
5,F,22,158,small,126,1379
6,F,23,157,big,155,1171
6,F,23,157,small,172,1304
6,F,23,157,normal,193,1316
7,F,23,170,big,148,1025
7,F,23,170,normal,148,1169
7,F,23,170,small,301,1311
8,F,31,167,big,207,1152
8,F,31,167,normal,218,1190
8,F,31,167,small,295,1233
9,M,23,178,big,90,1062
9,M,23,178,normal,140,1104
9,M,23,178,small,297,1128
10,M,23,184,big,101,787
10,M,23,184,normal,97,1003
10,M,23,184,small,285,1346
11,F,26,163,big,230,1158
11,F,26,163,small,267,1206
11,F,26,163,normal,230,1289
12,M,26,183,big,117,978
12,M,26,183,normal,164,986
12,M,26,183,small,298,1193
13,F,22,163,normal,230,1232
13,F,22,163,big,173,1327
13,F,22,163,small,250,1414
14,M,28,183,big,101,1003
14,M,28,183,small,191,1033
14,M,28,183,normal,127,1080
15,F,23,164,small,289,821
15,F,23,164,big,208,1038
15,F,23,164,normal,235,1170
16,F,23,163,big,176,1039
16,F,23,163,small,235,1086
16,F,23,163,normal,232,1129
17,F,21,177,big,194,1009
17,F,21,177,normal,267,1130
17,F,21,177,small,253,1157
18,F,22,176,big,164,1164
18,F,22,176,normal,232,1263
18,F,22,176,small,211,1271
19,M,27,177,big,82,921
19,M,27,177,normal,111,981
19,M,27,177,small,115,1011
20,M,23,185,big,94,981
20,M,23,185,normal,118,1000
20,M,23,185,small,87,1132
21,F,23,167,big,201,1220
21,F,23,167,normal,206,1226
21,F,23,167,small,214,1272
22,M,32,179,big,120,1240
22,M,32,179,normal,146,1266
22,M,32,179,small,195,1392
23,M,24,178,big,172,949
23,M,24,178,normal,179,989
23,M,24,178,small,253,995
24,F,21,168,big,191,1026
24,F,21,168,normal,250,1195
24,F,21,168,small,444,1443
25,F,24,168,big,206,1241
25,F,24,168,normal,183,1341
25,F,24,168,small,235,1380
26,F,24,178,big,237,1050
26,F,24,178,normal,235,1281
26,F,24,178,small,330,1301
27,M,23,179,big,88,866
27,M,23,179,normal,96,1192
27,M,23,179,small,125,1226
28,F,21,164,big,207,1114
28,F,21,164,normal,201,1208
28,F,21,164,small,250,1335
29,M,29,178,big,93,1024
29,M,29,178,normal,99,1141
29,M,29,178,small,126,1147
30,F,24,160,big,240,1039
30,F,24,160,normal,250,1302
30,F,24,160,small,415,1341
31,F,25,170,big,271,1138
31,F,25,170,normal,232,1222
31,F,25,170,small,348,1283
32,F,22,158,big,215,1076
32,F,22,158,small,280,1131
32,F,22,158,normal,219,1269
33,F,22,167,big,206,1180
33,F,22,167,normal,230,1281
33,F,22,167,small,253,1303
34,F,25,164,small,188,845
34,F,25,164,big,195,1030
34,F,25,164,normal,219,1246
35,F,23,170,small,323,1109
35,F,23,170,normal,242,1192
35,F,23,170,big,170,1309
36,F,24,163,big,206,1201
36,F,24,163,normal,240,1259
36,F,24,163,small,310,1293
37,F,31,179,big,160,1162
37,F,31,179,normal,172,1216
37,F,31,179,small,271,1291
38,M,31,196,big,108,893
38,M,31,196,normal,121,996
38,M,31,196,small,122,1144
39,M,26,170,normal,137,967
39,M,26,170,big,186,975
39,M,26,170,small,121,1069
40,M,28,201,big,131,979
40,M,28,201,normal,116,1033
40,M,28,201,small,178,1080
41,M,22,185,big,100,988
41,M,22,185,small,200,1046
41,M,22,185,normal,140,1090
42,M,23,173,big,105,827
42,M,23,173,small,331,949
42,M,23,173,normal,128,990
43,M,24,182,big,105,942
43,M,24,182,small,176,1067
43,M,24,182,normal,117,1144
44,F,22,175,small,249,995
44,F,22,175,big,250,1135
44,F,22,175,normal,233,1260
45,M,23,174,big,156,1022
45,M,23,174,small,268,1032
45,M,23,174,normal,116,1051
46,M,28,183,big,114,913
46,M,28,183,normal,127,1050
46,M,28,183,small,164,1128
47,M,38,188,big,125,892
47,M,38,188,normal,122,1097
47,M,38,188,small,138,1127
48,F,23,159,big,235,1221
48,F,23,159,normal,257,1359
48,F,23,159,small,365,1360
49,F,34,164,normal,246,1114
49,F,34,164,big,246,1153
49,F,34,164,small,318,1345
50,F,23,175,big,174,1100
50,F,23,175,normal,222,1143
50,F,23,175,small,285,1238
51,M,27,181,big,128,990
51,M,27,181,normal,134,1089
51,M,27,181,small,236,1099
52,F,23,175,big,161,1113
52,F,23,175,normal,205,1227
52,F,23,175,small,250,1298
53,F,24,166,big,222,1078
53,F,24,166,normal,227,1203
53,F,24,166,small,247,1309
54,F,23,167,big,198,1155
54,F,23,167,normal,222,1309
54,F,23,167,small,286,1416
55,M,28,183,big,83,823
55,M,28,183,normal,102,1016
55,M,28,183,small,174,1022
56,F,32,173,big,191,1038
56,F,32,173,normal,220,1161
56,F,32,173,small,279,1373
57,F,26,160,big,241,1066
57,F,26,160,normal,224,1267
57,F,26,160,small,209,1326
58,F,38,170,normal,253,1113
58,F,38,170,small,355,1344
58,F,38,170,big,177,984
59,F,27,165,big,251,1058
59,F,27,165,normal,290,1095
59,F,27,165,small,447,1226
60,F,24,174,big,182,1059
60,F,24,174,normal,175,1172
60,F,24,174,small,240,1199
61,M,31,183,big,121,964
61,M,31,183,normal,133,1036
61,M,31,183,small,209,1052
62,F,27,153,big,187,1078
62,F,27,153,normal,212,1235
62,F,27,153,small,322,1344
63,F,30,157,big,171,1242
63,F,30,157,normal,190,1301
63,F,30,157,small,234,1330
64,F,24,166,big,197,1125
64,F,24,166,normal,210,1263
64,F,24,166,small,327,1296
65,F,23,168,big,123,1117
65,F,23,168,normal,190,1212
65,F,23,168,small,236,1295
66,M,31,170,big,117,977
66,M,31,170,normal,136,1110
66,M,31,170,small,210,1366